동물보호센터명,동물보호센터유형,구조대상동물,소재지도로명주소,위도,경도,전화번호,평일운영종료시각,평일분양시작시각,평일분양종료시각,주말운영시작시각,주말운영종료시각,주말분양시작시각,주말분양종료시각,휴무일,수의사인원수,사양관리사인원수,진료실수,사육실수,격리실수,사료보관실수,구조운반용차량보유대수
하나동물병원,동물병원,"개, 고양이",전라북도 남원시 남문로 403 (왕정동),35.406627,127.3755353,063-634-7582,18:00,9:00,18:00,9:00,15:00,9:00,15:00,일요일,1,1,1,0,12,1,1
청원동물병원,동물병원,"개, 고양이",전라북도 남원시 용성로 150-1(죽항동),35.41212966,127.3916708,063-633-3533,18:00,9:00,18:00,9:00,15:00,9:00,15:00,일요일,1,1,1,0,9,1,1
오산시수의사회,동물병원,개+고양이,경기도 오산시 성호대로 36,37.149051,127.065149,031-372-9325,18:00,9:00,18:00,*****,*****,*****,*****,주말+공휴일,1,1,1,1,1,1,1
스타동물병원,동물병원,개+고양이+등,경기도 남양주시 별내2로 64,37.64643819,127.1248645,031-528-8575,18:00,*****,*****,*****,*****,*****,*****,일요일,2,1,*****,*****,*****,*****,*****
(사)유기동물 및 동물보호 관리협회,단체,개+고양이+기타,부산광역시 강서구 가락대로1283번길 25-2(봉림동),35.178959,128.899767,051-971-6208,18:00,9:00,18:00,9:00,18:00,9:00,18:00,탄력운영,1,1,1,1,1,1,1
횡성유기동물보호센터,단체,"개, 고양이",강원도 원주시 호저면 칠봉로 110-6,37.4160512,127.9118201,033-731-1119,18:00,*****,*****,*****,*****,*****,*****,연중무휴,0,3,*****,1,1,1,*****
가평군 유기동물 보호소,동물병원,개+고양이,경기도 가평군 가평읍 아랫마장길 59,37.845891,127.497781,031-580-4794,18:00,9:00,18:00,*****,*****,*****,*****,토요일+일요일,1,1,1,1,1,2,1
미래펫동물병원,동물병원,개+고양이+기타,울산광역시 남구 중앙로 218-1(신정동),35.540423,129.3123146,052-273-5911,18:00,10:00,18:00,10:00,17:00,10:00,17:00,매주 일요일,1,1,1,1,1,1,0
울산유기동물보호센터,단체,개+고양이+기타,울산광역시 울주군 온양읍 화산발리로 543(온양읍),35.3911384,129.2859116,052-238-6113,18:00,9:00,18:00,9:00,18:00,9:00,18:00,공휴일,0,5,1,12,1,1,2
한국동물구조관리협회,법인,개+고양이+야생동물,경기도 양주시 감악산로63-37,37.8700725,126.9832252,031-867-9119,18:00,*****,*****,*****,*****,*****,*****,공휴일+일요일,1,8,*****,*****,*****,*****,*****
익산시 유기동물보호소,법인,개+고양이,전라북도 익산시 서동로 42길 77,35.9366839,127.0024115,000-0000-0000,18:00,*****,*****,*****,*****,*****,*****,연중무휴,0,2,*****,*****,*****,*****,*****
영월군위탁관리보호소,개인,개+고양이,강원도 영월군 영월읍 봉래산로 546-32,37.223941,128.466159,033-370-1613,18:00,*****,*****,*****,*****,*****,*****,토요일+일요일+공휴일,0,0,*****,*****,*****,*****,*****
의성동물보호센터,동물병원,개,*****,36.329331,128.732923,000-0000-0000,18:00,9:00,18:00,*****,*****,*****,*****,매주 토요일 일요일 및 공휴일,0,1,1,1,1,1,1
위더스동물보호센터,동물병원,"유기동물(개, 고양이 등)",경기도 여주시 능서면 능서공원길 34,37.297329,127.575857,031-882-4381,18:00,9:00,18:00,0:00,0:00,0:00,0:00,"주말(토,일), 공휴일",1,2,1,1,1,1,1
임시동물보호소,개인,"개, 고양이, 염소",충청남도 보령시 녹문3길 7,36.3325806,126.5882243,041-930-7909,18:00,9:00,18:00,*****,*****,*****,*****,없음,1,1,1,2,1,1,1
연합동물병원,동물병원,개+기타,전라북도 완주군 용진읍 완주로 179,35.8811138,127.1555652,063-245-7588,18:00,*****,*****,*****,*****,*****,*****,탄력운영,1,1,1,1,1,1,1
한국동물구조관리협회,법인,유실동물,경기도 양주시 남면 감악산로 63-37,36.739808,126.912685,031-867-9119,18:00,9:00,18:00,9:00,18:00,*****,*****,일요일+공휴일,1,7,1,6,1,1,7
거제시유기동물보호소,법인,유기동물,경상남도 거제시 사등면 두동로1길 109,34.8837693,128.5736677,055-639-6366,18:00,14:00,17:00,9:00,18:00,14:00,17:00,연중무휴,0,4,0,12,2,*****,*****
충주시 반려동물보호센터,단체,개+고양이+기타,충청북도 충주시 중앙탑면 일곱실길 70,37.00824686,127.849822,043-851-3168,18:00,13:00,18:00,9:00,13:00,9:00,13:00,연중무휴,1,4,1,1,1,1,1
바둑이마을,법인,개,강원도 평창군 진부면 청송로 61,37.6367651,128.5530776,033-335-5559,18:00,*****,*****,*****,*****,*****,*****,공휴일,0,1,*****,1,1,*****,*****
부산동물보호센터,개인,개+고양이+기타,부산광역시 강서구 군라2길 206 (대저2동),35.13456442,128.9282297,051-832-7119,18:00,*****,*****,*****,*****,*****,*****,일요일,1,1,*****,*****,*****,*****,*****
구례보호소,개인,개+고양이,전라남도 구례군 문척면 구성1길 74-20,35.1976543,127.4835919,061-000-0000,18:00,*****,*****,*****,*****,*****,*****,연중무휴,1,0,*****,1,1,*****,0
사단법인 한국동물구조관리협회,법인,개+고양이+기타동물,경기도 양주시 남면 감악산로 63-37,37.87011581,126.9835431,031-867-9119,18:00,9:00,18:00,9:00,18:00,9:00,18:00,일요일,1,7,2,8,2,1,5
동물구조관리협회,법인,유기동물,경기도 양주시 남면 감악산로 63-37,37.870073,126.983225,031-868-2851,18:00,9:00,18:00,9:00,18:00,9:00,18:00,일요일,1,5,1,5,1,2,7
대전광역시 동물보호센터,법인,개+고양이+토끼+햄스터+등,대전광역시 유성구 갑동로15번길 20-39,36.363193,127.286821,042-825-1118,18:00,13:00,16:00,10:00,18:00,13:00,16:00,연중무휴,1,7,*****,*****,*****,*****,*****
춘천시동물보호센터,단체,유기동물(자생하는 길고양이 제외)단 다친 고양이나어미잃은 새끼고양이는구조대상에 포함,강원도 춘천시 신샘밭로 213,37.9225238,127.7344416,033-250-4773,18:00,9:00,18:00,0:00,0:00,0:00,0:00,"토요일, 일요일 및 법정공휴일",1,3,1,7,6,1,1
함안군동물보호소,단체,개,경상남도 함안군 가야읍 함안대로 755,35.293573,128.397887,055-580-4462,18:00,9:00,18:00,9:00,18:00,*****,*****,없음,0,1,1,2,1,1,0
화순군동물보호센터,개인,"개, 고양이",전라남도 화순군 화순읍 한고을길42,35.053791,126.9732498,061-379-3655,18:00,9:00,18:00,*****,*****,*****,*****,연중무휴,0,0,*****,*****,1,*****,1
순천시 유기동물임시보호소,단체,개,전라남도 순천시 승주읍 승주로 628,35.0158732,127.3791655,061-749-3094,18:00,10:00,17:00,10:00,16:00,10:00,16:00,N,0,4,0,0,2,1,1
어울림 보호센터,단체,"개,고양이",전라남도 순천시 민속마을길 978,34.92692972,127.409966,000-000-0000,18:00,10:00,17:00,10:00,16:00,10:00,16:00,주말,0,2,0,0,3,1,1
위더스동물메디컬센터 부설 동물보호센터,동물병원,개+고양이,경기도 여주시 능서공원길 34,37.29723784,127.5759443,031-882-4381,18:00,9:00,18:00,*****,*****,*****,*****,토+일,1,2,1,2,1,1,1
울산유기동물보호센터,개인,개+고양이+기타,울산광역시 울주군 온양읍 화산발리로 543,35.3911384,129.2859116,052-238-6113,18:00,9:00,18:00,9:00,18:00,9:00,18:00,공휴일,0,5,1,12,1,1,2
와우동물병원,동물병원,개+고양이+기타,울산광역시 울주군 언양읍 읍성로 135,35.5702722,129.1230926,052-225-0075,18:00,9:00,18:00,9:00,18:00,9:00,18:00,일요일,1,0,1,1,1,1,0
범서조은동물병원,동물병원,개+고양이+기타,울산광역시 울주군 범서읍 천상중앙길 49,35.563515,129.231009,052-248-7582,18:00,9:00,18:00,10:00,16:00,10:00,16:00,공휴일,1,5,1,1,1,1,0
초록동물병원,동물병원,개+고양이+기타,울산광역시 울주군 삼남면 상평강변길 3,35.5625232,129.121373,052-262-6114,18:00,9:00,18:00,9:00,18:00,9:00,18:00,일요일,1,3,1,1,1,1,0
증평가정견훈련소,개인,유기견,충청북도 증평군 도안면 입장길 239,36.84696509,127.6082371,000-0000-0000,18:00,9:00,18:00,9:00,18:00,9:00,18:00,-,0,2,1,1,1,1,1
고성군임시보호소,개인,개,*****,38.369034,128.493527,033-680-3723,18:00,9:00,18:00,0:00,0:00,0:00,0:00,공휴일,0,1,0,2,1,1,1
중부벳동물병원,동물병원,"개+고양이+미니돼지+양,염소+설치류+파충류+애완조류",충청남도 아산시 염치읍 충무로 295-9,36.806046,127.005281,041-533-3563,18:00,9:00,18:00,9:00,18:00,9:00,18:00,연중무휴,1,2,1,2,1,1,2
(사)한국동물구조관리협회,법인,"개,고양이",경기도 양주시 남면 감악산로 63-37,37.870403,126.983214,031-867-9119,18:00,9:00,16:00,9:00,18:00,9:00,16:00,매주 일,1,8,1,6,1,1,5
점곡동물보호센터,개인,개,경상북도 청송군 현동면 청송로 3128-141,36.30372934,129.0551245,054-870-6282,18:00,*****,*****,*****,*****,*****,*****,주말+공휴일,0,0,*****,*****,*****,*****,*****
청송동물보호센터,개인,개,경상북도 청송군 청송읍 부곡길 66,36.446007,129.0829524,054-870-6282,18:00,*****,*****,*****,*****,*****,*****,주말+공휴일,0,0,*****,*****,*****,*****,*****
창원유기동물보호소,법인,개,경상남도 창원시 의창구 창이대로 71 (명서동),35.2382793,128.6456003,055-225-5391,18:00,15:00,16:00,*****,*****,*****,*****,주말 및 공휴일,0,1,1,3,1,1,0
마산유기동물보호소,법인,개,경상남도 창원시 마산합포구 지산2길 139-112,35.119419,128.468229,055-225-5625,18:00,15:00,16:00,*****,*****,*****,*****,주말 및 공휴일,0,1,0,1,1,1,1
진해유기동물보호소,법인,개,경상남도 창원시 진해구 웅천로 218 (성내동),35.11399946,128.7543117,055-225-5703,18:00,15:00,16:00,*****,*****,*****,*****,주말 및 공휴일,0,1,1,1,1,1,1
사천시유기동물보호센터,단체,개,경상남도 사천시 흥신로 514,35.115105,127.999155,055-831-0000,18:00,9:00,18:00,9:00,18:00,9:00,18:00,없음,0,1,1,10,2,1,1
한국동물구조관리협회,법인,개,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861,031-867-9119,18:00,9:00,18:00,*****,*****,*****,*****,공휴일,1,7,1,7,1,1,6
무안군유기동물센터,개인,개+고양이,전라남도 무안군 무안읍 창포로 478-29,34.9806726,126.4348844,000-000-0000,18:00,9:00,18:00,*****,*****,*****,*****,토요일+일요일,0,1,*****,2,1,1,1
(사단)한국동물구조관리협회,법인,개 등 주인을 잃은 반려동물,경기도 양주시 남면 감악산로 63-37,37.871359,126.983988,031-867-9119,18:00,9:00,18:00,9:00,18:00,9:00,18:00,"일요일, 공휴일",1,7,1,6,1,1,5
광주광역시동물보호소,단체,유기동물,광주광역시 북구 본촌마을길 25,35.222608,126.8817785,062-571-2808,18:00,10:00,16:00,9:00,18:00,10:00,16:30,없음,1,7,1,9,3,1,1
군산유기동물임시보호소,동물병원,개,전라북도 군산시 대야면 보덕안정길 108-20,35.96081558,126.8163096,063-454-2870,18:00,9:00,18:00,9:00,18:00,9:00,18:00,연중무휴,0,1,0,5,0,0,2
부산동물보호센터,단체,유기동물,부산광역시 강서구 군라2길 206,35.1345653,128.9282488,051-832-7119,18:00,13:00,17:00,11:00,12:30,11:00,12:30,"일요일, 공휴일",1,5,1,7,2,3,2
영덕동물보호센터,법인,개+고양이,경상북도 영덕군 영덕읍 구미2길 14-1,36.43573023,129.3576208,054-730-6286,18:00,*****,*****,*****,*****,*****,*****,연중무휴,1,1,*****,*****,*****,*****,*****
정주동물병원,동물병원,개,전라북도 정읍시 칠보면 칠보중앙로 77-4,35.602881,126.9923158,063-539-7114,18:00,9:00,18:00,*****,*****,*****,*****,토요일 오후+일요일,1,1,1,1,1,1,1
자인동물보호소,동물병원,유실·유기 동물(고양이제외),경상북도 경산시 용성면 육동로 220-18(용성면),35.77788174,128.8855564,053-857-3661,18:00,*****,*****,*****,*****,*****,*****,연중무휴,1,1,1,1,*****,*****,1
예천군유기동물보호소,개인,개,경상북도 예천군 예천읍 충효로 632-84,36.674497,128.476168,054-650-6578,18:00,9:00,18:00,*****,*****,*****,*****,주말+공휴일,1,1,*****,*****,*****,*****,*****
인천수의사회 유기동물보호소,법인,「동물보호법」에 따른 유실·유기동물,인천광역시 계양구 다남로165번길 56(다남동),37.56623917,126.7196302,032-515-7567,18:00,*****,*****,9:00,13:00,*****,*****,연중무휴,1,3,*****,*****,*****,*****,*****
경동동물병원,동물병원,개+고양이+기타,인천광역시 중구 개항로 68,37.471909,126.6299454,032-765-9988,18:00,*****,*****,*****,*****,*****,*****,연중무휴,1,2,*****,*****,*****,*****,*****
진주시 유기동물보호소,법인,개,경상남도 진주시 집현면 신당길207번길 22,35.22708596,128.1218709,055-749-7974,18:00,9:00,18:00,*****,*****,*****,*****,토+일,3,2,0,1,1,1,1
사단법인 하얀비둘기,법인,"개,고양이",부산광역시 강서구 수가로 659-13,35.17104943,128.8772136,051-293-9779,18:00,9:00,18:00,9:00,18:00,9:00,18:00,변동,1,1,1,40,1,1,2
보성유기동물보호센터,개인,개,전라남도 보성군 노동면 노동천동길 209,34.8298863,127.0654866,3666-5354,18:00,*****,*****,*****,*****,*****,*****,연중무휴,0,1,*****,1,*****,*****,1
인천광역시수의사회유기동물보호소,단체,"유기, 유실동물",인천광역시 계양구 다남로165번길 56(다남동),37.56623917,126.7196301,032-515-7567,18:00,13:00,16:00,9:00,12:00,0:00,0:00,없음,1,3,1,22,1,2,2
누리동물보호센터,동물병원,개+고양이+기타,부산광역시 해운대구 송정2로13번길 46,35.194811,129.2063155,051-709-7599,18:00,9:00,18:00,9:00,18:00,9:00,18:00,공휴일,2,2,1,8,1,1,3
태백유기동물,개인,개,강원도 태백시 문의재로 5(통동),37.1728393,129.040746,033-553-7000,18:00,13:00,18:00,*****,*****,*****,*****,연중무휴,0,1,*****,*****,*****,*****,*****
사단법인 한국동물구조관리협회,법인,개+고양이+기타동물,경기도 양주시 남면 감악산로 63-37,36.739808,126.912685,031-867-9119,18:00,9:00,18:00,9:00,18:00,9:00,18:00,일요일,1,7,2,8,2,1,5
대구광역시 달성군 동물보호센터,법인,개+고양이+기타,대구광역시 북구 호국로 229,35.922346,128.599039,053-764-3708,18:00,*****,*****,*****,*****,*****,*****,국공휴일,6,6,*****,*****,*****,*****,*****
단양군유기동물보호소,단체,"개, 고양이 등 유기동물",충청북도 단양군 매포읍 단양산업단지2로 88-34,37.0169504,128.301233,043-422-4351,18:00,9:00,18:00,9:00,18:00,9:00,18:00,없음,0,1,0,3,1,1,1
대구유기동물보호센터,동물병원,개+고양이+기타애완동물일부,대구광역시 동구 금강로 151-13,35.86387405,128.735955,053-964-6258,18:00,*****,*****,*****,*****,*****,*****,일요일+공휴일,1,3,*****,*****,*****,*****,*****
러브펫종합동물병원,동물병원,개+고양이+기타유기동물,서울특별시 관악구 남부순환로 1451,37.481566,126.9120098,02-837-8875,18:00,*****,*****,*****,*****,*****,*****,연중무휴,2,5,*****,*****,*****,*****,*****
포항시동물보호센터,단체,개+고양이+야생동물(유해조수 제외),경상북도 포항시 북구 흥해읍 덕장길 224,36.14568215,129.3326209,054-262-8295,18:00,*****,*****,9:00,18:00,*****,*****,연중무휴,1,4,1,6,1,1,1
삼척시유기동물보호소,개인,개+고양이,강원도 삼척시 척주로 131,37.4419669,129.1774042,033-574-4942,18:00,9:00,18:00,*****,*****,*****,*****,공휴일,0,2,0,1,1,1,1
수성구유기동물보호센터,법인,"개,고양이,기타반려동물",대구광역시 북구 호국로 229,35.922372,128.599029,053-764-3708,18:00,9:00,18:00,*****,*****,*****,*****,국정공휴일,6,6,3,34,36,3,2
용인시 동물보호센터,동물병원,"개+고양이+기타(고슴도치, 앵무새, 토끼, 햄스터 등)",경기도 용인시 처인구 중부대로 1074-1,37.243299,127.1591338,031-324-3465,18:00,10:00,16:00,9:00,18:00,10:00,16:00,토요일+일요일+공휴일,1,6,1,6,2,1,1
창녕유기동물보호소,단체,"유실,유기동물(길고양이는 제외)+피학대동물 중 소유자 알수없거나, 적정한 치료및 보호를 받지 못하는 동물",*****,35.573974,128.507423,055-530-6103,18:00,9:00,18:00,9:00,18:00,9:00,18:00,공휴일,1,1,0,2,1,1,1
영암 유기동물 삼호 보호소,개인,개,전라남도 영암군 삼호읍 녹색로 1117-49,34.748372,126.485851,070-9599-5400,18:00,13:00,18:00,9:00,18:00,13:00,18:00,공휴일,0,1,0,50,3,1,0
천안시 유기동물보호소,단체,유기동물,충청남도 천안시 동남구 목천읍 학수소사길 132,36.73773499,127.1729983,041-0000-0000,18:00,9:00,18:00,9:00,18:00,9:00,18:00,연중무휴,1,8,*****,*****,*****,*****,1
임시동물보호소,개인,"개, 고양이, 염소",충청남도 보령시 녹문3길 7,36.3325806,126.5882243,041-930-7909,18:00,9:00,18:00,*****,*****,*****,*****,연중무휴,1,1,1,2,1,1,1
중부벳 동물병원,동물병원,개+고양이+염소+유기동물,충청남도 아산시 염치읍 충무로 295-9,36.806897,127.0048187,041-537-3831,18:00,9:00,12:00,9:00,18:30,9:00,12:00,일요일,1,3,1,1,1,1,2
계룡시 유기동물보호소,개인,개+고양이,충청남도 계룡시 엄사면 천마로12,36.28072047,127.2410301,041-0000-0000,18:00,*****,*****,*****,*****,*****,*****,토요일+일요일,1,1,1,2,1,1,1
당진시동물보호소,개인,"개, 고양이",충청남도 당진시 고대면 연동로 30-6,36.93404125,126.596254,041-356-8210,18:00,9:00,18:00,*****,*****,*****,*****,연중무휴,1,3,1,5,1,1,1
우신동물병원,동물병원,개+고양이+염소등 유기동물,충청남도 금산군 금산읍 오리정 1길 45,36.10483658,127.488096,041-753-8128,18:00,10:00,17:00,10:00,17:00,10:00,17:00,법정공휴일,1,0,1,4,1,0,0
서천군 동물보호소,개인,개+고양이,충청남도 서천군 마산면 한마로 1189-20,36.17973079,126.7729021,041-950-4388,18:00,10:00,17:00,9:00,18:00,10:00,17:00,일요일+추석+설,1,2,*****,10,2,1,1
종합동물병원,동물병원,"개,고양이",*****,36.470868,126.831294,041-940-2973,18:00,9:00,18:00,*****,*****,*****,*****,토요일+일요일+공휴일,1,0,*****,*****,*****,*****,*****
금일 동물보호소,개인,"개,고양이",충청남도 홍성군 홍동면 충절로 625,36.57890452,126.705498,041-0000-0000,18:00,9:00,18:00,8:00,18:00,8:00,18:00,연중무휴,1,2,*****,2,1,1,1
남양주동물보호협회,단체,"유실,유기동물(길고양이는 제외)+피학대동물 중 소유자 알수없거나, 적정한 치료및 보호를 받지 못하는 동물",경기도 남양주시 금곡로 44,37.633921,127.207921,031-591-7270,18:00,9:00,18:00,9:00,18:00,9:00,18:00,공휴일,1,2,1,2,2,2,1
테오동물병원,동물병원,유기견,충청북도 음성군 금왕읍 음성로 1203,36.996266,127.5983041,043-882-8975,18:00,9:00,18:00,9:00,18:00,9:00,18:00,일,1,2,1,2,1,1,1
청도군동물보호소,개인,개,경상북도 청도군 청도읍 월곡2길 15-15,35.63162511,128.7581274,054-370-6534,18:00,9:00,18:00,9:00,18:00,9:00,18:00,일요일,1,1,1,23,1,1,1
담양유기동물보호센터,개인,개,*****,35.35856173,127.0020842,061-380-2725,18:00,*****,*****,9:00,18:00,*****,*****,0,0,1,*****,29,4,1,1
신영재동물병원,동물병원,"개,고양이 등",인천광역시 계양구 장제로 923(병방동),37.548821,126.741361,032-552-0075,18:00,*****,*****,*****,*****,*****,*****,탄력운영,1,1,1,1,1,1,1
울산유기동물보호센터,단체,개+고양이,울산광역시 울주군 온양읍 화산발리로 543,35.3911384,129.2859116,052-238-6113,18:00,*****,*****,9:00,18:00,*****,*****,없음,1,5,1,12,1,1,2
강진군유기견보호소,법인,개,전라남도 강진군 강진읍 남당로 97-73,34.62354546,126.7765428,061-430-3613,18:00,9:00,18:00,*****,*****,*****,*****,"주말,공휴일",1,1,0,8,1,0,0
사랑애완동물병원,동물병원,개+고양이,경상남도 통영시 광도면 죽림3로 33,34.88284013,128.4172425,055-648-7582,18:00,9:00,18:00,9:00,18:00,*****,*****,없음,1,0,1,1,1,1,0
펫토피아 동물병원,동물병원,동물보호법 제14조에 따른 구조/보호 조치 대상 동물,경기도 성남시 분당구 불정로 266,37.367101,127.127801,031-174-8391,18:00,*****,*****,*****,*****,*****,*****,"주말, 공휴일",1,3,3,3,2,1,2
가나동물병원,동물병원,유실유기동물,경상북도 경주시 금성로 385,35.852134,129.206636,054-774-9975,18:00,9:30,18:00,*****,*****,*****,*****,일요일,1,1,1,1,1,1,0
공원옆동물병원,동물병원,유실유기동물,경상북도 경주시 용담로 12,35.860875,129.219679,054-771-0055,18:00,9:30,18:00,*****,*****,*****,*****,일요일,1,1,1,1,2,1,0
파주시수의사회,단체,개,경기도 파주시 방촌로 1636,37.860598,126.778143,031-952-7576,18:00,9:00,18:00,*****,*****,*****,*****,공휴일,21,29,17,17,17,17,2
원주시유기동물보호센터,개인,개+고양이,강원도 원주시 호저면 칠봉로 110-6,37.416061,127.911829,033-731-1119,18:00,9:00,12:00,9:00,12:00,9:00,12:00,연중무휴,1,0,1,4,1,1,1
(사)한국동물구조관리협회,법인,개+고양이+햄스터+앵무새,경기도 양주시 남면 감악산로 63-37,37.8700725,126.9832252,031-867-9119,18:00,9:00,16:00,9:00,18:00,9:00,16:00,일요일,1,6,1,5,1,1,1
